Show ID,Title,Total Episodes,Thumbnail URL,Description,Release Date,Country,Status,Type,Episode Details
25,Backstreet Rookie,16,"https://prod-images.viu.com/clip_asset_v6/1165987880/1165998220/0e29c2fa2d56f1bc2cc7a5b367296930fea6df18?im=Resize,width=1920","Jung Saet Byul is a 22-year-old, four-dimensional girl with amazing fighting skills, loves her friends, family, and retro-fashion. She has the boys lined up but only  convenience store owner Choi Dae Hyun holds her attention. Three years ago, he became imprinted upon her as an 'unforgettable person' after a cigarette errand. Flash forward to the present; Jung Saet Byul  applies for a part-time position at Choi Dae Hyun's  convenience store, which he also manages. There their love story begins as they heal the wounds of the heart, gain love, and become adults dreaming of the future. ",2021-08-21T13:30:09,South Korea,Completed,TVSeries,"Episode 16 (ID: 2018, Subtitles: 5); Episode 15 (ID: 2017, Subtitles: 5); Episode 14 (ID: 969, Subtitles: 5); Episode 13 (ID: 948, Subtitles: 5); Episode 12 (ID: 278, Subtitles: 5); Episode 11 (ID: 279, Subtitles: 5); Episode 10 (ID: 280, Subtitles: 5); Episode 9 (ID: 281, Subtitles: 5); Episode 8 (ID: 282, Subtitles: 5); Episode 7 (ID: 283, Subtitles: 5); Episode 6 (ID: 284, Subtitles: 5); Episode 5 (ID: 285, Subtitles: 5); Episode 4 (ID: 286, Subtitles: 5); Episode 3 (ID: 287, Subtitles: 5); Episode 2 (ID: 288, Subtitles: 5); Episode 1 (ID: 289, Subtitles: 5)"
26,Goblin - Guardian: The Lonely and Great God,16,https://vuclipi-a.akamaihd.net/p/tthumb1920x1080/d-1/1140883231.jpg,"Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for his bride, a mortal who can pull out the sword and end his life. One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events, yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task, only gets complicated, as the two fall in love.",2021-08-21T13:30:09,South Korea,Completed,TVSeries,"Episode 16 (ID: 306, Subtitles: 5); Episode 15 (ID: 304, Subtitles: 5); Episode 14 (ID: 303, Subtitles: 5); Episode 13.5 (ID: 302, Subtitles: 0); Episode 13 (ID: 301, Subtitles: 5); Episode 12 (ID: 300, Subtitles: 5); Episode 11 (ID: 299, Subtitles: 5); Episode 10 (ID: 298, Subtitles: 5); Episode 9 (ID: 297, Subtitles: 5); Episode 8 (ID: 296, Subtitles: 5); Episode 7 (ID: 295, Subtitles: 5); Episode 6 (ID: 294, Subtitles: 5); Episode 5 (ID: 293, Subtitles: 5); Episode 4 (ID: 292, Subtitles: 5); Episode 3 (ID: 291, Subtitles: 5); Episode 2 (ID: 290, Subtitles: 5); Episode 1 (ID: 305, Subtitles: 5)"
27,The Bride of Habaek,16,https://images-na.ssl-images-amazon.com/images/I/718qOIdjDQL._RI_.jpg,"What would you do if you had to continue a strange family legacy?
Yoon So Ah is a pragmatic neuropsychiatrist who carries a tremendous financial burden to run her own practice. Her family has been tasked with serving Ha Baek, a reincarnated water god, for many generations, and So Ah is forced to do the same. Ha Baek starts to develop feelings for So Ah, but he has competition for her heart",2021-08-21T13:30:09,South Korea,Completed,TVSeries,"Episode 16 (ID: 33151, Subtitles: 5); Episode 15 (ID: 33152, Subtitles: 5); Episode 14 (ID: 33153, Subtitles: 5); Episode 13 (ID: 33154, Subtitles: 5); Episode 12 (ID: 33155, Subtitles: 5); Episode 11 (ID: 33156, Subtitles: 5); Episode 10 (ID: 33157, Subtitles: 5); Episode 9 (ID: 33158, Subtitles: 5); Episode 8 (ID: 33159, Subtitles: 5); Episode 7 (ID: 33160, Subtitles: 5); Episode 6 (ID: 33161, Subtitles: 5); Episode 5 (ID: 33162, Subtitles: 5); Episode 4 (ID: 33163, Subtitles: 5); Episode 3 (ID: 33164, Subtitles: 5); Episode 2 (ID: 33165, Subtitles: 5); Episode 1 (ID: 307, Subtitles: 5)"
