Title,Episode Number,Subtitle Data
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),19,"[{""src"": ""https://sub.streamsub.top/English-EP19-The-Immortal-Ascension.srt.txt1?v=1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP19-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP19-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP19-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP19-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),20,"[{""src"": ""https://sub.streamsub.top/English-EP20-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP20-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP20-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP20-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP20-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),18,"[{""src"": ""https://sub.streamsub.top/English-EP18-The-Immortal-Ascension.srt.txt1?v=1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP18-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP18-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP18-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP18-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),17,"[{""src"": ""https://sub.streamsub.top/English-EP17-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP17-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP17-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP17-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP17-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),16,"[{""src"": ""https://sub.streamsub.top/English-EP16-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP16-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP16-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP16-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP16-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),15,"[{""src"": ""https://sub.streamsub.top/English-EP15-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP15-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP15-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP15-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP15-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),14,"[{""src"": ""https://sub.streamsub.top/English-EP14-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP14-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP14-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP14-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP14-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),12,"[{""src"": ""https://sub.streamsub.top/English-EP12-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP12-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP12-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP12-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP12-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),13,"[{""src"": ""https://sub.streamsub.top/English-EP13-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP13-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP13-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP13-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP13-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),10,"[{""src"": ""https://sub.streamsub.top/English-EP10-The-Immortal-Ascension.srt.txt1?v=2840ef64-5827-48c6-966a-8ed47368fbc3"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP10-The-Immortal-Ascension.srt.txt1?v=993906dd-24bb-44f0-9ab9-22d6f992c22d"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP10-The-Immortal-Ascension.srt.txt1?v=ba9d5b27-e698-4f88-b874-c6b7b794abe8"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP10-The-Immortal-Ascension.ar.srt.txt1?v=c342e7f5-a408-41a9-a040-301b73f6f488"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP10-The-Immortal-Ascension.km.srt.txt1?v=d3b26d0e-4bf0-478b-9b41-63ff08a220c8"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),11,"[{""src"": ""https://sub.streamsub.top/English-EP11-The-Immortal-Ascension.srt.txt1"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP11-The-Immortal-Ascension.srt.txt1"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP11-The-Immortal-Ascension.srt.txt1"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP11-The-Immortal-Ascension.ar.srt.txt1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP11-The-Immortal-Ascension.km.srt.txt1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),5,"[{""src"": ""https://sub.streamsub.top/English-EP5-The-Immortal-Ascension.srt.txt1?v=ab009770-c098-4b35-879b-fca91fc3b661"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP5-The-Immortal-Ascension.srt.txt1?v=fbc69ef1-4409-4f70-aa7f-0c8f5ea5f6e2"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP5-The-Immortal-Ascension.srt.txt1?v=74b4a2a5-63c2-46d5-84a9-d8be55a3491c"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP5-The-Immortal-Ascension.ar.srt.txt1?v=e989c350-4d4f-4c3f-a828-8c5cf75700dd"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP5-The-Immortal-Ascension.km.srt.txt1?v=d46e9c68-3d93-4e6a-aeab-3f7a2af644e1"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),4,"[{""src"": ""https://sub.streamsub.top/English-EP4-The-Immortal-Ascension.srt.txt1?v=d91886d9-a3bc-4c5b-b33c-32d74251e645"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP4-The-Immortal-Ascension.srt.txt1?v=723ef012-cd22-42ae-808a-3eff2f499270"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP4-The-Immortal-Ascension.srt.txt1?v=3a923823-5194-4ffc-bfd0-399d1805457c"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP4-The-Immortal-Ascension.ar.srt.txt1?v=498d2f03-dd05-43f3-9a3a-df74a71e58c1"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP4-The-Immortal-Ascension.km.srt.txt1?v=31e9114e-8591-4e94-a75d-6a956562ee9d"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
The Immortal Ascension - A Record of a Mortal's Journey to Immortality (Live Action),9,"[{""src"": ""https://sub.streamsub.top/English-EP9-The-Immortal-Ascension.srt.txt1?v=692e0d2a-0f4a-43e0-bca3-39824bfc4a82"", ""label"": ""English"", ""land"": ""en"", ""default"": true}, {""src"": ""https://sub.streamsub.top/Indonesian-EP9-The-Immortal-Ascension.srt.txt1?v=8a3a742a-1cc4-41cc-9d54-3dece846053a"", ""label"": ""Indonesia"", ""land"": ""id"", ""default"": false}, {""src"": ""https://sub.streamsub.top/Malay-EP9-The-Immortal-Ascension.srt.txt1?v=4e0881c3-059f-493a-bfeb-177118f1c337"", ""label"": ""Malay"", ""land"": ""ms"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP9-The-Immortal-Ascension.ar.srt.txt1?v=70721402-a169-445e-8d7c-10251dd6a5c7"", ""label"": ""Arabic"", ""land"": ""ar"", ""default"": false}, {""src"": ""https://sub.streamsub.top/English-EP9-The-Immortal-Ascension.km.srt.txt1?v=b6e7f2be-faaa-433a-be97-22daea0c0fa2"", ""label"": ""Khmer"", ""land"": ""km"", ""default"": false}]"
